datetime,internet,hour,day_of_week,month,is_weekend,internet_roll_mean_24h,internet_roll_std_24h,internet_lag_24h
2013-11-01 00:00:00,0.20176231863613148,0,4,11,0,0.22636321610669283,0.0518242125944759,0.0
2013-11-01 01:00:00,0.1784620679748595,1,4,11,0,0.1919945304520325,0.0403482122258624,0.0
2013-11-01 02:00:00,0.16962608543929655,2,4,11,0,0.18475269056765423,0.038474930967455,0.0
2013-11-01 03:00:00,0.22542888921785761,3,4,11,0,0.19090651103375755,0.04198180590946626,0.0
2013-11-01 04:00:00,0.20194547859635856,4,4,11,0,0.19255260821228112,0.03606066621670145,0.20176231863613148
2013-11-01 05:00:00,0.23272536903093596,5,4,11,0,0.20376650592293358,0.04016991698188735,0.1784620679748595
2013-11-01 06:00:00,0.20955380987011155,6,4,11,0,0.21451611867617582,0.03222292382277933,0.16962608543929655
2013-11-01 07:00:00,0.21424654107823363,7,4,11,0,0.21275098232727804,0.026758009565384048,0.22542888921785761
2013-11-01 08:00:00,0.254045574008601,8,4,11,0,0.22222944724153357,0.03751660201764651,0.20194547859635856
2013-11-01 09:00:00,0.5890850658019721,9,4,11,0,0.26769183146039993,0.15972389646786023,0.23272536903093596
2013-11-01 10:00:00,0.42843861369668784,10,4,11,0,0.34548351002049515,0.2768690243245762,0.20955380987011155
2013-11-01 11:00:00,0.7264115126650955,11,4,11,0,0.4323648620799932,0.28637533375648405,0.21424654107823363
2013-11-01 12:00:00,0.6016782251636331,12,4,11,0,0.5429125610240413,0.3254442891236137,0.254045574008601
2013-11-01 13:00:00,0.46213410419689627,13,4,11,0,0.581558213520712,0.2691520743821146,0.5890850658019721
2013-11-01 14:00:00,0.8031137330410881,14,4,11,0,0.6269543820771043,0.32718620854920916,0.42843861369668784
2013-11-01 15:00:00,0.685493765392477,15,4,11,0,0.6506939529850544,0.40175644760977997,0.7264115126650955
2013-11-01 16:00:00,0.44172969902036646,16,4,11,0,0.6246247262146827,0.4349318729594334,0.6016782251636331
2013-11-01 17:00:00,0.8325917491731873,17,4,11,0,0.6357394122802121,0.4719942419664114,0.46213410419689627
2013-11-01 18:00:00,0.8477341886800253,18,4,11,0,0.676981405414006,0.48028074267750354,0.8031137330410881
2013-11-01 19:00:00,0.5472317641473295,19,4,11,0,0.697142244508039,0.4229799901112188,0.685493765392477
