datetime,internet,hour,day_of_week,month,is_weekend,internet_roll_mean_24h,internet_roll_std_24h,internet_lag_24h
2013-11-01 00:00:00,1.6444235735289767,0,4,11,0,1.7681632898752826,0.3631248484977853,0.0
2013-11-01 01:00:00,1.4240913204389745,1,4,11,0,1.6415865280474211,0.4474514122484894,0.0
2013-11-01 02:00:00,1.346984421728502,2,4,11,0,1.5141360125194225,0.44234899024745816,0.0
2013-11-01 03:00:00,1.668937201003504,3,4,11,0,1.5071242411525532,0.40459690031099843,0.0
2013-11-01 04:00:00,1.6538575137147875,4,4,11,0,1.5203392940481137,0.385619077843596,1.6444235735289767
2013-11-01 05:00:00,1.4331280410319562,5,4,11,0,1.513296427858813,0.3845081169286224,1.4240913204389745
2013-11-01 06:00:00,1.569769877521465,6,4,11,0,1.5485562772986983,0.3688833915905236,1.346984421728502
2013-11-01 07:00:00,1.7685436967237331,7,4,11,0,1.6203515537906792,0.41639294042880365,1.668937201003504
2013-11-01 08:00:00,2.3009647177241366,8,4,11,0,1.6804780344333645,0.478995861345936,1.6538575137147875
2013-11-01 09:00:00,3.041163460308056,9,4,11,0,1.9738539050766402,0.6233187503672749,1.4331280410319562
2013-11-01 10:00:00,4.094128927893537,10,4,11,0,2.5158286845566153,0.863764188293309,1.569769877521465
2013-11-01 11:00:00,16.216762529775668,11,4,11,0,4.8015445237207866,6.104133249461587,1.7685436967237331
2013-11-01 12:00:00,5.362603207900353,12,4,11,0,6.945432938779983,9.518440393838526,2.3009647177241366
2013-11-01 13:00:00,5.85092133413454,13,4,11,0,7.460424532623022,9.35171981256915,3.041163460308056
2013-11-01 14:00:00,7.5971220850435754,14,4,11,0,8.485822271178327,9.304728405002678,4.094128927893537
2013-11-01 15:00:00,9.492031548190067,15,4,11,0,7.528913186492449,6.478334110809388,16.216762529775668
2013-11-01 16:00:00,5.710200629858306,16,4,11,0,7.0396482509101554,4.114618648023321,5.362603207900353
2013-11-01 17:00:00,6.334095294657929,17,4,11,0,7.419434344378511,3.9010497352701066,5.85092133413454
2013-11-01 18:00:00,6.209851494295385,18,4,11,0,7.022389122047816,3.362315758447479,7.5971220850435754
2013-11-01 19:00:00,6.969977064282223,19,4,11,0,7.021122252762243,3.275913873461432,9.492031548190067
2013-11-01 20:00:00,5.3201852794662505,20,4,11,0,6.2130234477369894,2.3801929247240268,5.710200629858306
2013-11-01 21:00:00,8.340066327817134,21,4,11,0,6.5022288380546085,2.713018764460637,6.334095294657929
2013-11-01 22:00:00,9.845885384121585,22,4,11,0,7.396683055411202,3.5183483765805814,6.209851494295385
2013-11-01 23:00:00,6.165269293028795,23,4,11,0,7.380571659480778,3.2131359785861684,6.969977064282223
