datetime,internet,hour,day_of_week,month,is_weekend,internet_roll_mean_24h,internet_roll_std_24h,internet_lag_24h
2013-11-01 00:00:00,1.4103584967941323,0,4,11,0,1.398879499016422,0.13574562125629905,0.0
2013-11-01 01:00:00,1.226190913086898,1,4,11,0,1.3433733313698404,0.1458586988425575,0.0
2013-11-01 02:00:00,1.268034338359542,2,4,11,0,1.3149903218919707,0.14264039736858738,0.0
2013-11-01 03:00:00,1.1798018302019477,3,4,11,0,1.2825924949985088,0.14597897044667457,0.0
2013-11-01 04:00:00,1.208843162487715,4,4,11,0,1.2372959641922534,0.13723489595901614,1.4103584967941323
2013-11-01 05:00:00,1.2664896517001953,5,4,11,0,1.2250173482025457,0.13992602705673804,1.226190913086898
2013-11-01 06:00:00,1.4121656465357137,6,4,11,0,1.2419603990693813,0.14747308042967158,1.268034338359542
2013-11-01 07:00:00,1.5268940902206802,7,4,11,0,1.3169379227171,0.17845158836589428,1.1798018302019477
2013-11-01 08:00:00,2.2258572112534605,8,4,11,0,1.5099488922908109,0.35347114496439613,1.208843162487715
2013-11-01 09:00:00,2.794408981290447,9,4,11,0,1.8049986304799652,0.5186554814477281,1.2664896517001953
2013-11-01 10:00:00,3.1922886357589726,10,4,11,0,2.220250960332013,0.6846515087978856,1.4121656465357137
2013-11-01 11:00:00,3.751534518317341,11,4,11,0,2.753040383325408,0.8156564086746504,1.5268940902206802
2013-11-01 12:00:00,3.581091345048952,12,4,11,0,3.205186359322567,0.7677183739464094,2.2258572112534605
2013-11-01 13:00:00,3.9816012751065153,13,4,11,0,3.556424239080648,0.6572570095034093,2.794408981290447
2013-11-01 14:00:00,3.8307794982040746,14,4,11,0,3.7580371771351864,0.5747260567257245,3.1922886357589726
2013-11-01 15:00:00,3.315832606512417,15,4,11,0,3.708740389212398,0.5428187237518796,3.751534518317341
2013-11-01 16:00:00,3.345777791059797,16,4,11,0,3.6138954134084504,0.5122732327209462,3.581091345048952
